Headline,Body ID,Stance
Senator: Detainees swapped for Bergdahl have contacted militants,209,discuss
US officials: Video shows American's execution,1439,unrelated
Italian catches huge wels catfish; is it a record?,793,unrelated
Nun Gives Birth To Baby Boy After Suffering Intense Stomach Pains,2492,agree
CNN audio: Is this the moment Michael Brown was shot?,1916,discuss
Kim Jong-un 'Had Surgery on Fractured Ankles',798,discuss
Man who skipped work for 24 years is finally fired,1213,unrelated
This Week In Weird News: Horrible Human Slaps Elderly Woman For Sneezing,1939,unrelated
Blundering boyfriend burns down college after trying to impress his girlfriend with elaborate marriage proposal,499,unrelated
Soldier shot in Ottawa at War Memorial,1933,unrelated
Christian Bale set to play Steve Jobs in forthcoming biopic of Apple co-founder,1846,disagree
Passenger Wears A Hazmat Suit To Dulles Airport,2114,unrelated
Durex on Rumored ‘Pumpkin Spice’ Condom: No Comment,367,unrelated
For sale: Tiger's former island in Sweden,604,agree
DHS Rebuffs Congressman’s Claim ISIS Infiltrating Southern Border,2141,unrelated
"Islamist Militants 'Steal' 11 Commercial Planes In Libya, Sparking Terror Attack Fears",1865,discuss
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",615,unrelated
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,1074,unrelated
Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,1883,unrelated
Wife and child of Islamic State leader Baghdadi held in Lebanon,72,unrelated
"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",359,unrelated
Claim: Comcast Got Complaining Customer Fired From His Job,2034,unrelated
Questions raised over Nicaragua 'meteorite',2154,discuss
Experts: More facts needed on purported audio recording of Michael Brown shooting,1897,unrelated
Macaulay Culkin Dead?,690,unrelated
Nicaragua asks U.S. for help investigating meteorite crater,724,unrelated
"Absent from duty for 25 years, CPWD official dismissed",844,unrelated
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1336,discuss
BREAKING NEWS: British-born U.S. photojournalist held hostage by al-Qaeda killed in failed rescue attempt in Yemen,120,unrelated
Pumpkin Spice condoms? Don't fall for this hoax.,1708,discuss
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",1293,unrelated
Christian Bale Exits Steve Jobs Movie (Exclusive),1157,discuss
"Boko Haram denies cease-fire, leader says he married off kidnapped girls",459,unrelated
"David Haines Beheaded By ISIS, Execution Video Contains Threats Against UK: Reports",144,unrelated
Luke Somers' sister says he was killed in failed Yemen rescue attempt,40,unrelated
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",1458,discuss
"Islamic State leader's family detained by Lebanon, officials say",691,unrelated
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",1739,unrelated
Seth Rogen to Play Apple’s Steve Wozniak,2124,unrelated
Reports: Boko Haram may release schoolgirls as part of deal,1372,unrelated
Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,830,unrelated
New ISIS Video Shows Militants Seizing Weapons Airdropped By US Near Kobani,1026,unrelated
Another ISIS Massacre: ISIS Kills 300 Iraqi Soldiers With Chlorine Gas,2489,unrelated
Pentagon Denies It Killed ISIS Chief As Airstrikes Hit Top Extremists,394,discuss
"ISIS Claims an American Hostage, Kayla Mueller, Died in Airstrike in Syria",678,discuss
GRAPHIC CONTENT: Girl sneers at man's tiny penis so he CHOPS IT OFF and bins it,1517,agree
"Batmobile stolen in Detroit? Good one, joker!",1237,discuss
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,1547,unrelated
Iraqi media says ISIS militants have contracted Ebola,2367,unrelated
Vogue's new digs are reportedly swarming with rats,945,unrelated
"This boy nearly died, now he has a superpower like Marvel’s Magneto",1433,agree
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,263,unrelated
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",1376,agree
Lebanon 'holding IS leader's daughter and ex-wife',639,unrelated
Meteorite strike in Nicaragua puzzles experts,1627,unrelated
Purported ISIS claim: Jordan airstrike kills female US hostage,2473,unrelated
New iOS 8 bug can delete all of your iCloud documents,1361,unrelated
Isis militants claim to have killed US journalist James Foley,1940,unrelated
ISIS Video Purports To Show Beheading Of British Aid Worker,2440,discuss
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,1406,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,2115,unrelated
Hospital: Man not being treated for Ebola in Kansas City,1586,unrelated
"North Korean leader Kim Jong-un not missing, just having ankle surgery",1972,discuss
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,1815,unrelated
Actor has his testicles stolen after meeting ‘young blonde woman at a bar’,803,unrelated
Christian Bale to play Steve Jobs in upcoming biopic,2017,discuss
"How did Fake Chinese News Site Dupe Washington Post, Atlantic, BBC?",1439,unrelated
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,304,unrelated
Unverified video shows beheading of aid worker David Haines,1802,unrelated
"Taibbi takes time out from First Look after “disagreements.” Can I publish our emails now, Matt?",480,unrelated
"Report: Stainless steel Apple Watch will be priced $500, gold at $5,000",698,unrelated
"Prankster Gives Homeless Man $100, Secretly Follows Him And Learns He Buys Food For Others",1820,unrelated
Man who slaps people around the head for sneezing hunted by police,1006,unrelated
Is the Alleged Audio of the Gunshots That Killed Michael Brown a Hoax?,1974,unrelated
This Is a Truly Horrifying Story About a Spider,1860,agree
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",2415,unrelated
"Is North Korea, world's most secret state, really planning a new restaurant in Scotland?",1339,unrelated
Report: Christian Bale Just Bailed on the Steve Jobs Movie,1299,agree
US confirms death of Somalia terror group leader,1921,unrelated
Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,853,unrelated
"Don't Worry, 'The Breakfast Club' Star Judd Nelson Is Not Dead",557,unrelated
Report: Israeli-Canadian woman fighting Islamic State has been kidnapped by terror group,2415,unrelated
Hospital: Man not being treated for Ebola in Kansas City,1349,unrelated
Apple may launch 12-inch MacBook Air with Retina Display,1744,unrelated
"Small meteorite strikes Nicaragua, government says",2302,unrelated
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,1289,unrelated
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1430,discuss
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",1179,unrelated
Seth Rogen Is Woz,1746,discuss
James Foley remembered as 'brave and tireless' journalist,991,discuss
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",1611,discuss
‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,2511,discuss
Canadian-Israeli Woman May Have Been Captured In Syria: Reports,1459,unrelated
Sugarhill Gang Rapper Big Bank Hank Dies at 57,1374,unrelated
Canadian Michael Zehaf-Bibeau thought to be the gunman in Ottawa shooting,2214,discuss
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1347,unrelated
Soldier shot in Ottawa at War Memorial,1988,unrelated
Nun 'has surprise baby' after complaining of stomach pains,1480,unrelated
Islamic State Flying Three Jets in Syria,819,unrelated
"Report: Stainless steel Apple Watch will be priced $500, gold at $5,000",2485,discuss
ISIS leader ‘killed’ in US airstrikes,40,unrelated
The Guy Who Said a Spider Burrowed Under His Skin? Experts Say…,1343,unrelated
Isis claims it has US airdrop of weapons,2307,discuss
Rats are still running around at Vogue,304,unrelated
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',1130,unrelated
Tropical spider burrows under man's skin through scar,220,unrelated
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",1375,unrelated
This Selfless Homeless Man Receives $100 & Doesn't Spend A Dime On Himself!,467,unrelated
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',2453,unrelated
