Headline,Body ID,Stance
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,2037,discuss
"No, a bird didn't poop on Vladimir Putin",2367,unrelated
"No, that broken pencil illustration isn't by Banksy",1747,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,2115,unrelated
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',1106,discuss
Michael Phelps’ ‘girlfriend’ reveals she was born a man – and never told the swimmer,521,unrelated
Seven girls fall pregnant after five day school trip in Bosnia and Herzegovina,1408,unrelated
Fence-jumper made it farther in White House than Secret Service let on,1580,unrelated
ISIL militant 'Jihadi John' named by media,2202,discuss
Lawmaker Says ‘At Least 10′ Islamic State Fighters Have Been Captured at the Southern U.S. Border,226,unrelated
Dog abandoned at Scottish rail station with suitcase full of belongings  Read more: http://www.ctvnews.ca/world/dog-abandoned-at-scottish-rail-station-with-suitcase-full-of-belongings-1.2175026#ixzz3O9Shc1IO,347,unrelated
An Indian Civil Servant Just Got Sacked After Not Turning Up For Work For 25 Years,1646,unrelated
VIDEO: Son Stuns Parents By Paying Off Their Mortgage As Christmas Surprise,1933,unrelated
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1120,unrelated
Michael Phelps’ alleged girlfriend says she was born intersex,1524,unrelated
State House time capsule from 1795 unearthed,690,unrelated
'Sex attacker' has penis cut off with a cleaver in India,1210,unrelated
"No, a Planetary Alignment on Jan. 4, 2015, Won’t Decrease Gravity",1260,unrelated
Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,2413,unrelated
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,1336,agree
"Tropical spider burrows under man's skin, lives there for three days",1888,unrelated
"North Korean leader Kim Jong Un had ankle surgery, report says",2210,unrelated
Militant Group Says It Killed American Journalist in Syria,533,unrelated
Nun 'has surprise baby' after complaining of stomach pains,391,unrelated
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,2526,unrelated
"Amazon to launch first brick-and-mortar store, report says",2045,discuss
"Boko Haram Denies Truce, Says Kidnapped Girls Have Been “Married Off”",1588,agree
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,702,unrelated
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,961,unrelated
"So, There Might Be a Rat Infestation at Vogue",959,discuss
Watch moment TV weatherman is caught urinating in the bushes LIVE on camera,1808,unrelated
