Headline,Body ID,Stance
"Everybody Relax, Banksy Wasn’t Arrested And Exposed As A 35-Year-Old Man",2256,unrelated
North Korean dictator Kim Jong-Un to open restaurant in Scotland,239,unrelated
Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,2302,unrelated
#Hairgate: iPhone 6 users say device pulls out hair,1769,discuss
Kim Jong-un: obese leader 'fractured both ankles',186,unrelated
Macaulay Culkin dead hoax: Fake death report spreads on social networks,1502,unrelated
Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,1331,unrelated
"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",1130,disagree
Eyewitness Says Viral Video of Homeless Man Was Staged,1074,unrelated
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,1543,unrelated
"Former Porn Star Behind YouTube Sensation ‘DC Toy Collector,’ Makes $5 Million Per Year Unboxing Disney Toys",2314,unrelated
ISIS Getting Ebola,936,discuss
Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,1806,unrelated
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1351,unrelated
This Is What It Looks Like When A Son Pays Off His Parents’ Mortgage As A Christmas Present,1631,unrelated
New Audio Recording From Ferguson May Capture Michael Brown Shooting,2220,discuss
ISIS executioner 'Jihadi John' named by media,2033,unrelated
"No, a bird didn't poop on Vladimir Putin",2078,unrelated
CPWD official sacked for absence from duty for 25 years,1718,unrelated
Cameron vows to hunt down IS 'monsters' after Haines murder,1183,discuss
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1883,unrelated
"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",1689,discuss
Unconfirmed reports saying ISIS UK Hostage David Haines Beheaded,1802,unrelated
Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,1266,unrelated
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,2367,unrelated
"Don't forget to tip...especially if you spend $300,000",1939,unrelated
Google to Buy Redwood City Offices for $585M,513,unrelated
Audio recording allegedly captures at least 10 shots fired in Michael Brown killing,2187,unrelated
Missing Mexico students not among 28 bodies found in mass grave,1825,unrelated
Christian Bale quits Steve Jobs movie,1839,unrelated
Al-Shabab leader who ordered Kenya mall massacre believed killed in US drone attack in Somalia,60,unrelated
Chugging eggnog sends Utah man to hospital,251,unrelated
Kim Jong-un 'Had Surgery on Fractured Ankles',2042,unrelated
Video: Marine survives Taliban sniper headshot thanks to helmet,1549,unrelated
Seven girls fall pregnant after five day school trip in Bosnia and Herzegovina,557,unrelated
eBay working on bidding app for Apple Watch,209,unrelated
CNN Plays Alleged Recording of Michael Brown Shooting,1252,unrelated
Chinese advised to choose British-sounding names to get ahead,2220,unrelated
"'A wonderful, wonderful sound': Man breaks down after hearing voicemail from his late wife that was lost for 14 years",2227,unrelated
Islamic State militants claim to behead missing American journalist,2261,unrelated
"Small meteorite strikes Nicaragua, government says",1661,discuss
"Is Apple about to launch a totally redesigned, 12-inch MacBook Air?",879,unrelated
Small Meteorite Strikes in Nicaragua's Capital City of Managua,2371,unrelated
11 jetliners 'missing' after Islamist takeover of airport,723,unrelated
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1786,unrelated
"Catholic Priest Dies for 48 Minutes, Comes Back to Life and Claims God Is Female",1014,agree
"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",480,unrelated
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,944,discuss
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,1266,unrelated
ISIS Video Purports To Show Beheading Of British Aid Worker,1360,unrelated
"ISIS Militants Have Contracted Ebola: Iraqi, Kurdish Media Reports",1669,discuss
Amazon is about to open its first-ever physical store in New York City,1369,unrelated
Missing American journalist reportedly beheaded by Islamic State ,2453,unrelated
Mechanical polar bear ‘threatened with ASBO for singing Christmas songs’,2299,unrelated
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",1329,discuss
'Feminist' Lana 'Aborts Baby Because It's A Boy' And Is Surprised By Backlash,698,unrelated
See the Crater a Meteorite Made in Nicaragua,1913,agree
Missing Libyan jetliners raise fears of terror attacks on 9/11,508,discuss
Rumor Fatigue Sets In at False Alarms of Castro’s Death,2221,discuss
Fence-jumper made it farther in White House than Secret Service let on,1804,unrelated
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,80,unrelated
Pope Francis turns out not to have made pets in heaven comment,1832,disagree
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",564,unrelated
