Headline,Body ID,Stance
This Is What The Sun Baby From ‘Teletubbies’ Looks Like Now,504,unrelated
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",1634,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1776,unrelated
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,1670,unrelated
"Lady on FB: I'm 41, Intersex, and Fucked Michael Phelps on First Date",1839,unrelated
"Op-Ed: Hoax – Priest who never existed claims he died, saw female God",169,unrelated
Iraqi Official Dismisses ‘Unfounded’ Reports That ISIS Fighters Have Ebola,737,unrelated
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,298,discuss
ISIS Blasts 'Scorpion Bombs' At Civilian Areas In Iraq; Mosul Residents Living In Fear,776,agree
Seth Rogen to Play Apple’s Steve Wozniak,646,unrelated
CBS News Names Canadian Parliament Shooting Suspect,2134,unrelated
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,2261,unrelated
Married TV actor wakes up to find his testicles have been STOLEN after he is drugged in Russian bar by attractive blonde working for organ traffickers,1519,unrelated
Apple may launch 12-inch MacBook Air with Retina Display,345,unrelated
'The youngest martyr - the cub of al-Baghdadi': ISIS boasts a 10-year-old fighter has been killed as he went into battle with his father in Syria,1829,unrelated
'The Force Awakens' Release Date: JJ Abrams Plan for an Early Release of 'Star Wars' Movie?,1897,unrelated
CNN Posts Alleged Audio of Michael Brown Shooting,844,unrelated
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,781,unrelated
Media Fooled Again? Story Claims 7 of 28 Girls On School Trip Came Home Pregnant,313,unrelated
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,1034,unrelated
"Why the most expensive Apple Watch will probably cost around $10,000",81,unrelated
REVEALED: Woman Behind $5 Million Per Year Youtube Channel Is a Former Porn Star  Read more at: http://nextshark.com/revealed-woman-behind-5-million-per-year-youtube-channel-is-a-former-porn-star/#rmns,1315,agree
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,137,unrelated
Big Bank Hank of The Sugarhill Gang is dead at 57,2118,unrelated
Are Rumors of the Apple Watch in Feb True?,1293,unrelated
US confirms death of Somalia terror group leader,1637,unrelated
British aid worker David Haines beheaded by ISIL,1178,unrelated
Someone Trolled Twitter Into Thinking Macklemore Joined ISIS,564,unrelated
Priest who died for 48 minutes says he met God and she’s a woman,2240,agree
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,1019,unrelated
Audio may have captured Michael Brown shooting,1438,unrelated
IRAQI AND KURDISH MEDIA REPORTS: ISIS FIGHTERS HAVE CONTRACTED EBOLA,1899,unrelated
