Headline,Body ID,Stance
BiH: Seven Primary School Students Pregnant After Five-Day Excursion,2124,unrelated
BREAKING UDPATED: ISIS REPORTEDLY USE CHEMICAL WEAPONS IN KOBANE,1940,unrelated
Christian Bale in Talks to Play Steve Jobs (Exclusive),945,discuss
Apple Watch reportedly has low-energy 'power reserve' mode,719,unrelated
"Islamic State training pilots to fly MiG fighter planes, says monitoring group",295,unrelated
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,1681,discuss
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,419,discuss
ISLAMIC STATE ‘FED MURDERED MAN TO HIS OWN MOTHER’,2349,unrelated
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",1569,unrelated
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2495,discuss
ISIS Militants Allegedly Contracted Ebola,1175,discuss
ISIS Appears To Behead American Photojournalist In YouTube Video,1040,unrelated
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,1478,unrelated
ISIS Kobani Update: Possible ISIS Chemical Attack On Kurdish Civilians In Kobani,2453,unrelated
US Intel: Taliban Man Released From Gitmo in Bergdahl Deal is Back to Militant Activity,1299,unrelated
Christian Bale Pulls Out of Upcoming Steve Jobs Biopic,687,unrelated
High school student scores $72M playing the stock market,2235,unrelated
#Hairgate: iPhone 6 users say device pulls out hair,1738,discuss
ISIS Getting Ebola,1004,unrelated
"Boko Haram agrees to ceasefire, release of school girls",1027,disagree
CBS News Names Canadian Parliament Shooting Suspect,2246,discuss
Hundreds mourn the 'death' of Fidel Castro after rumours sweep Twitter (but are they confusing him with recently departed Fidel Castro Odinga from Nairobi?),2377,unrelated
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,1438,unrelated
Government fires employee who skipped work for 24 years,800,unrelated
Cheese blamed for North Korean leader Kim Jong-un's broken ankles,2153,discuss
"Don't forget to tip...especially if you spend $300,000",830,unrelated
Isis leader Abu Bakr al-Baghdadi's 'wife and son detained in Lebanon',651,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,26,unrelated
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,1502,unrelated
"Obama, Outraged Over Beheading, Vows to Stay on Course",1574,unrelated
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,570,unrelated
KFC Marijuana Sales To Begin In Colorado? It’s Unbelievable — Literally,1826,unrelated
Video Messaging App Says Audio Recording Of Michael Brown's Shooting Is Authentic,2434,discuss
Viral Photo Shows How Chinese Workers Are Used to Manipulate App Store Rankings,1040,unrelated
NEWS/ You'll Never Guess How a Homeless Man Spent $100—Watch the Touching Video!,2240,unrelated
No - a Fox News Twitter account isn't responding to tweets on the #FoxNewsFacts hashtag,1697,unrelated
Obama: murder of James Foley 'shocks the conscience of the entire world',2067,agree
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",1549,unrelated
Islamic State militants claim to behead missing American journalist,2096,discuss
Missing American journalist reportedly beheaded by Islamic State ,2304,unrelated
British rapper a suspect in ISIS beheading,634,unrelated
It’s Okay To Laugh About The Fact That The Vogue Rat Infestation is Getting Worse,639,unrelated
'Feminist' Lana 'Aborts Baby Because It's A Boy' And Is Surprised By Backlash,1549,unrelated
Apple Watch reportedly has low-energy 'power reserve' mode,1857,unrelated
"Boko Haram: Kidnapped Girls Have Been Married Off, Truce Never Happened",244,unrelated
Man Chops Off and Throws Away His Small Penis After Bad Breakup,1347,unrelated
"Stainless steel Apple Watch could cost just $499, but gold will be 10 times as pricey",829,unrelated
Here Are Microsoft's New Robot Security Guards,917,unrelated
EXCLUSIVE: New York Mag’s Boy Genius Investor Made It All Up,2052,agree
"Managua explosion not a meteorite, NASA suggests",1073,discuss
Militant Group Says It Killed American Journalist in Syria,1011,discuss
Was The Batmobile Stolen In Detroit?,1311,unrelated
"Amazon reportedly launching free, ad-supported video service (updated)",1408,unrelated
Missing Libyan aircraft spark fears of 9/11-style attack in North Africa,1966,unrelated
WATCH: Stan Beaton cries tears of joy when phone engineers find treasured voicemail recording of his late wife he thought was lost forever,1640,agree
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",1934,discuss
The “Flood Libel” Propagandists of 2015,244,unrelated
"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",2295,discuss
‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,54,unrelated
PGA Spokesman and Tiger Woods' Agent Deny Drug Suspension Allegations,1651,unrelated
"Rajasthan: Man Tries to Rape Teenager, Angry Mob Chops His Penis Off",368,unrelated
New Audio Recording From Ferguson May Capture Michael Brown Shooting,1435,unrelated
Ottawa shooting: Sergeant-at-arms Kevin Vickers hailed a hero for shooting rampaging gunman,1666,agree
Islamic State claims it executed American photojournalist James Foley,2526,unrelated
Pentagon: ISIS seized materials airdropped to Kurds,693,unrelated
Apple scrapped advanced Apple Watch health monitoring features due to reliability issues,1707,unrelated
"High-end Apple Watch to start at $5,000 -- analyst",503,unrelated
Scientists Doubt That Meteor Caused Crater In Nicaragua,724,unrelated
"NYPD to issue tickets instead of arrest for weed possession, report says",955,unrelated
Penis graffiti drawn on £1.5million Bugatti Veyron,822,unrelated
N. Korea’s Kim has leg injury but in control,1148,unrelated
Militant Group Says It Killed American Journalist in Syria,782,discuss
N Korean leader misses annual ritual; sister ‘takes over duties’,1268,unrelated
Video: Marine saved by helmet after Taliban sniper attack,1180,agree
Government fires employee who skipped work for 24 years,304,unrelated
Nigeria Boko Haram blamed for raids despite truce claim,2144,discuss
"Islamic State leader's family detained by Lebanon, officials say",1125,unrelated
"12in Retina MacBook Air release date rumours: All-new 12in MacBook Air design for 2015, launching at WWDC?",45,unrelated
Macaulay Culkin dead hoax: Fake death report spreads on social networks,195,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,2272,disagree
HBO in talks with Apple to be launch partner for coming web service 'HBO Now',1660,unrelated
Kim Jong-un 'set to open a new restaurant in SCOTLAND',2148,discuss
"Catholic priest dies for 48 mins, wakes up claiming God is a woman",2142,unrelated
"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",941,unrelated
"Small meteorite strikes Nicaragua, government says",816,unrelated
Anna Wintour 'refuses to work at new World Trade Center Vogue office due to rat infestation',493,unrelated
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",551,discuss
Vogue's new digs are reportedly swarming with rats,891,unrelated
Islamic State militants claim to behead missing American journalist,1786,unrelated
Kimye’s Fault? Anna Wintour’s NYC ‘Vogue’ Offices Hit With Disgusting Rat Infestation: ‘Rat Droppings On Desks’,2031,agree
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",513,unrelated
"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",181,unrelated
Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico,570,unrelated
BREAKING NEWS: Baseball star Jose Canseco hurt in accidental shooting,2230,unrelated
Texas City plumber's truck ends up in Syrian war,1906,agree
Isis tells mother on rescue mission :’You’ve just eaten your son’,2248,unrelated
Give a homeless man $100 and see what he does with it [Video],676,unrelated
'There is no limit to their depravity' Islamic State FEED mother her own SON,2299,unrelated
"Vice Media CEO Shane Smith Spent $300,000 on Las Vegas Dinner (Report)",1349,unrelated
ISIL Beheads American Photojournalist in Iraq,115,unrelated
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",1826,unrelated
Islamic State flying three jets in Syria: monitor,524,unrelated
TBS speeds up Seinfeld 7.5% to gain an extra 2 minutes of commercial ad time.,821,unrelated
Was Heart-Tugging Viral Video Of Generous Homeless Man All A Hoax?,320,unrelated
"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",787,unrelated
'Sex attacker' has penis cut off with a cleaver in India,2175,unrelated
"Boko Haram denies truce, says kidnapped girls married",1697,unrelated
Alleged audio of Michael Brown shooting released,1648,unrelated
Viral Photo Shows How Chinese Workers Are Used to Manipulate App Store Rankings,2087,unrelated
Report of quarantined Texas town NOT real; shared on a 'fake' news website,409,unrelated
Purported ISIS claim: Jordan airstrike kills female US hostage,2328,unrelated
Is Kim Jong Un's sister Kim Yo Jong in charge?,986,unrelated
Kim Had Ankle Surgery:  Source,2175,unrelated
Al Qaida hostage killed in raid,1582,unrelated
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,387,unrelated
Google Grows With $1.6 Billion in California Office Deals,1921,unrelated
Saddam Hussein’s pilots training Islamic State group,777,unrelated
Audio recording allegedly captures moment Michael Brown was shot,1921,unrelated
Penis Spray-Painted on a $2.5 Million Car Was Just for a Prank Video,527,unrelated
'Spiderman' squished: Perth experts debunk spider burrowing claims,1848,unrelated
NBC's Tom Brokaw reportedly wants Brian Williams fired over fabricated Iraq helicopter story,1572,unrelated
