Headline,Body ID,Stance
Report of quarantined Texas town NOT real; shared on a 'fake' news website,1260,unrelated
"Planetary Alignment On Jan 4, 2015 Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness",121,unrelated
Nasa questions whether crater in Nicaragua caused by meteorite,1068,discuss
American hostage in Yemen freed in military raid-Defence Ministry,115,unrelated
Vogue’s Shiny New Office Has a Big Rat Problem,1686,unrelated
WATCH: Bird Launches Airstrike on Putin’s Shoulder (UPDATED),2502,unrelated
Cheese addiction breaks Kim Jong-un's ankles,2417,discuss
Media outlets identify 'Jihadi John',2092,unrelated
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,529,unrelated
North Korea denies plans to open a restaurant in Scotland,1143,unrelated
CNN Airs Alleged Audio from Michael Brown Shooting,1299,unrelated
Vice CEO Throws Down $300K on Lavish Vegas Dinner,737,unrelated
"Comcast Is Threatening To Cut Off Customers Who Use Tor, The Web Browser For Criminals",1280,unrelated
Does Vogue's New Office Have a Rat Infestation?,1686,unrelated
The Internet Tried To Make Axl Rose Its Latest Death Hoax Victim,1358,unrelated
Watch marine take sniper shot to the head and live,532,unrelated
Graphic Photo: Oliver Ilic Uses Razor Blade To Slice Off Own Manhood After Girlfriend Broke Up With Him,2330,unrelated
Kim Jong-Un's Sister Takes Control in North Korea,1769,unrelated
Pentagon: ISIS Got U.S. Weapons Package,1485,agree
Meteorite 'caused mysterious boom in Nicaragua',992,unrelated
Seven girls fall pregnant after five day school trip in Bosnia and Herzegovina,208,unrelated
"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",1471,unrelated
Missing Mexico students not among 28 bodies found in mass grave,761,unrelated
Saddam Hussein’s pilots training Islamic State group,2283,unrelated
"Everybody Relax, Banksy Wasn’t Arrested And Exposed As A 35-Year-Old Man",2468,agree
VIDEO: Son Stuns Parents By Paying Off Their Mortgage As Christmas Surprise,1567,agree
Amazon.com to open first physical store in Manhattan: DJ,832,unrelated
ISIS Blasts 'Scorpion Bombs' At Civilian Areas In Iraq; Mosul Residents Living In Fear,185,unrelated
Bali Awry,1709,unrelated
Isis militants claim to have killed US journalist James Foley,11,unrelated
"Insiders Claim Steel Apple Watch to Start at $500, Gold at $4,000",2097,unrelated
Amazon's first brick-and-mortar store said to open in Manhattan,742,unrelated
CNN Plays Alleged Audiotape of Michael Brown ShootingMilitarization Of Police,2345,discuss
Video messaging service verifies timing of CNN audio recording,195,unrelated
Nasty iOS 8 Bug Could Erase Your iCloud Drive Documents,2061,unrelated
The next Apple Watch could be platinum,2265,unrelated
Judd Nelson Death Hoax: FOX News Impersonator Claims Actor Found Dead In Los Angeles Condo,1036,unrelated
Report: Jose Canseco accidentally shot,1772,unrelated
Al-Shabaab Terror Group Leader Killed in U.S. Airstrike,1024,discuss
"No, Nobody's Discovered a New Eyewitness Account of Jesus' Miracles",544,unrelated
Seth Rogen reportedly nabs Steve Wozniak role in Steve Jobs filmSteve Jobs Iconic Moments,1936,unrelated
Could Kim Jong Un open a restaurant in Scotland?,1535,unrelated
"Rumor: Stainless Steel Apple Watch Will Cost $500, Gold $4,000",444,unrelated
Video: Islamic State Claims to Have Captured US Weapons Airdrop Near Kobane,666,unrelated
Shocking picture shows mother trying to sell her own son to pay for twin daughter's cancer treatment,1467,unrelated
NBC weatherman caught urinating in the woods live on air,1046,disagree
An audio recording of the Michael Brown shooting has reportedly surfaced,1715,discuss
"Obama, Outraged Over Beheading, Vows to Stay on Course",1747,agree
Islamic State claims it executed American photojournalist James Foley,2495,discuss
HORROR: ISIS Fighters Have Reportedly Contracted Ebola,846,discuss
US officials: Video shows American's execution,2045,unrelated
"Rare meteorite impact causes blast in Nicaragua's capital, Managua",1627,unrelated
What Glenn Beck Fears May Be Done With the 11 Missing Jets,859,unrelated
Two blokes dared to eat 20-year-old burger for charity,2367,unrelated
Shocking! Chinese parents sell their son to fund for daughter’s Cancer treatment,1225,unrelated
No One In North Korea Is Allowed To Share Kim Jong Un's Name,1175,unrelated
Report: Amazon to Launch Ad-Supported Streaming Service,971,unrelated
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,693,discuss
Mohammed Islam Denies Making $72 Million From Stock Market Trading,2252,unrelated
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",1808,unrelated
Isis tells mother on rescue mission :’You’ve just eaten your son’,1347,unrelated
Batman Set To Play Steve Jobs In Upcoming Biopic,1368,unrelated
Homeland Security: No ISIL fighters on U.S. border,1269,unrelated
Mass grave found after 40 students disappear in Mexican protest,61,unrelated
Speeding Up ‘Seinfeld’ For Younger Viewers,242,unrelated
A Predator Drone Has Reportedly Been Spotted Circling Above ISIS's Capital City,40,unrelated
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',2060,discuss
"Tour, agent: Tiger Woods not banned",2175,discuss
ISIS fighters seize weapons airdrop meant for Kurds,1076,discuss
Amazon plans ad-supported video streaming service - NY post,887,unrelated
"Jihadi John named as Mohammed Emwazi, from west London",1073,unrelated
Report: Secret Service Lied About White House Fence Jumper,1426,unrelated
Is Kim Jong-un’s sister now the power behind the North Korean throne?,2046,unrelated
Breaking: Soldier shot at National War Memorial in Ottawa,195,unrelated
"Apple Media Event Rumored for Late February, Apple Watch and 12"" MacBook Air Likely Topics [Updated]",754,unrelated
Michael Phelps Sex Scandal: Troubled Olympian’s Girlfriend Was Born A Man!,521,unrelated
"Homeless man who became a YouTube sensation after spending $100 on food for his beggar friends gets a surprise Christmas meal, makeover and night in a hotel in new video... but is it all a hoax by a 'serial prankster'?",467,unrelated
"Confusion swirls, details murky in arrest of ISIS leader's 'wife'",404,unrelated
Resetting iOS 8 Preferences May Wipe iCloud Files,1155,unrelated
Apple Reportedly Relying More Heavily on Samsung for iPhone 6 and Apple Watch Components,2412,unrelated
“Willie Nelson dead 2015” : Guitarist killed by internet death hoax,185,unrelated
ISIS fighters ‘have contracted Ebola’,2003,discuss
Russians Bag Better Bigfoot Footage,879,unrelated
Missing American journalist reportedly beheaded by Islamic State ,2388,discuss
Holy Theft! Batmobile Stolen from 'Batman v Superman'???,692,unrelated
"Batmobile stolen in Detroit? Good one, joker!",2062,discuss
Apple may launch 12-inch MacBook Air with Retina Display,724,unrelated
US confirms death of Somalia terror group leader,646,unrelated
New Audio Recording From Ferguson May Capture Michael Brown Shooting,693,discuss
Jihadi John unmasked: Former Westminster University student was arrested FIVE years ago and put on a terror watch list - but he flew to Syria to join ISIS two years later,204,unrelated
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2520,unrelated
"Insiders Claim Steel Apple Watch to Start at $500, Gold at $4,000",1672,discuss
"Mexico hit by student massacre: At least 17 anti-corruption protesters 'rounded up, murdered and dumped in a mass grave' - and another 26 are missing",1419,unrelated
ISIS executioner 'Jihadi John' named by media,2531,unrelated
Report: NYPD to stop arresting people for minor marijuana offenses,1875,unrelated
Iraqi Official Dismisses ‘Unfounded’ Reports That ISIS Fighters Have Ebola,93,unrelated
ISIS Militants Allegedly Contracted Ebola,1291,unrelated
"Are missing students in mass graves found near Iguala, Mexico?",2360,unrelated
"Boy, 16, secretly films sex with teacher then uploads it to WhatsApp",1153,unrelated
Audio of gunfire in Michael Brown case authenticated by app company,1481,unrelated
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",511,unrelated
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,1737,unrelated
"Jihadi John named as Mohammed Emwazi, from west London",2123,discuss
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,1789,unrelated
'Spiderman' squished: Experts debunk claims,1271,unrelated
Samsung is reportedly making a secret new chip in the Apple Watch,139,unrelated
Lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,agree
Robert Plant ripped up $800M Led Zeppelin reunion contract,1492,disagree
This Is The Most Epic Way To Quit Your Job,478,unrelated
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,527,unrelated
Luke Somers 'killed in failed rescue attempt in Yemen',1988,discuss
"No, Banksy has not been arrested (sigh)",1940,agree
Vigilantes cut off alleged rapist's penis,2015,unrelated
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",1893,discuss
WATCH: Bird Launches Airstrike on Putin’s Shoulder (UPDATED),964,unrelated
Seth Rogen reported to play Woz in the upcoming Steve Jobs movie,1746,discuss
"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",1009,unrelated
ISIL allegedly kills US journalist in video,1120,unrelated
US officials: Video shows American's execution,1786,unrelated
