Headline,Body ID,Stance
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,2248,unrelated
Iraqi Official Dismisses ‘Unfounded’ Reports That ISIS Fighters Have Ebola,1013,unrelated
Nigeria says it has deal with Boko Haram to release kidnapped girls,171,unrelated
ISIL allegedly kills US journalist in video,2147,discuss
North Korea Leader Kim Jong Un Is Still In Charge: Source,2022,discuss
ESPN’s Domestic Abuse Tonight Panel Will Be 100% Dudes,2531,unrelated
"Boko Haram Denies Truce, Says Kidnapped Girls Have Been “Married Off”",1374,unrelated
Video: Marine saved by helmet after Taliban sniper attack,1734,agree
Iraqi social-media rumors claim IS leader slain,1988,unrelated
Report claims Kim Jong-un underwent surgery to repair fractured ankles,1854,discuss
"Prankster Gives Homeless Man $100, Secretly Follows Him And Learns He Buys Food For Others",2240,unrelated
"SMALL METEORITE STRIKES NICARAGUA, GOVERNMENT SAYS",724,unrelated
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1602,discuss
Female Israeli fighter said abducted by Islamic State  Read more: Female Israeli fighter said abducted by Islamic State,80,unrelated
ISIS Getting Ebola,1398,unrelated
ISIS Militants Allegedly Contracted Ebola,2261,unrelated
Seth Rogen to Star as Steve Wozniak in Sony's Steve Jobs Biopic [Updated],2272,unrelated
Hundreds of Palestinians flee floods in Gaza as Israel opens dams,158,agree
North Korean dictator Kim Jong-Un to open restaurant in Scotland,972,unrelated
NBC weatherman caught urinating in the woods live on air,320,discuss
Former British Rapper Reportedly Under Investigation for James Foley Beheading,1237,unrelated
Al-Shabaab Terror Group Leader Killed in U.S. Airstrike,1982,discuss
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',992,unrelated
Apple Watch battery will require nightly charging,1296,unrelated
"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",1603,unrelated
Are Rumors of the Apple Watch in Feb True?,1760,unrelated
IS Fighters Seize Weapons Cache Meant for Kurds,2252,unrelated
CNN Plays Alleged Audiotape of Michael Brown ShootingMilitarization Of Police,1179,unrelated
New Audio Recording From Ferguson May Capture Michael Brown Shooting,2317,discuss
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,2124,unrelated
Seth Rogen reportedly nabs Steve Wozniak role in Steve Jobs filmSteve Jobs Iconic Moments,1058,unrelated
ISIS executioner 'Jihadi John' named by media,1724,discuss
Video Purports To Show Beheading Of U.S. Journalist By Militants,1747,discuss
Mexico checks if 43 missing students in mass grave,712,unrelated
"Is Kim Jong-un's Sister, Kim Yo-jong, Running North Korea In His Mysterious Absence?",706,unrelated
Future Apple Watches could include platinum models - report,2389,unrelated
Man who skipped work for 24 years is finally fired,432,agree
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,608,unrelated
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,1099,discuss
LOL: RICH JOHNSTON SAYS THE BATMOBILE HAS BEEN STOLEN IN DETROIT,280,unrelated
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,880,discuss
Rumors of ISIS leader's death debunked,511,unrelated
"No, Pumpkin Spice Condoms Are Not A Real Thing",1481,unrelated
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),959,unrelated
Apple Watch launch expected in late March,554,unrelated
"Batmobile Stolen From ""Batman v Superman: Dawn of Justice"" Set, Zack Snyder Knows Who Did It",2519,disagree
Apple Orders More Than 5 Million Watches for Initial Run,2492,unrelated
NYPD to stop arrests for small amounts of marijuana,2483,unrelated
US hostage Luke Somers dies after rescue bid,683,discuss
"Unconfirmed: ISIS Claims Kayla Mueller, American Female Hostage, Is Dead",1337,discuss
It’s Okay To Laugh About The Fact That The Vogue Rat Infestation is Getting Worse,725,unrelated
Apple may launch 12-inch MacBook Air with Retina Display,1347,unrelated
Seven girls fall pregnant after five day school trip in Bosnia and Herzegovina,2508,agree
