Headline,Body ID,Stance
'There is no limit to their depravity' Islamic State FEED mother her own SON,1786,discuss
Amazon.com to open first physical store in Manhattan: DJ,2453,unrelated
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,1948,unrelated
IS militant 'Jihadi John' named as Mohammed Emwazi from London,1465,unrelated
Sugarhill Gang Rapper ‘Big Bank Hank’ Dies at 57,2118,unrelated
Soldier shot in Ottawa at War Memorial,2470,unrelated
Josh Paler Lin Gives A Homeless Man $100 And Follows Him To See How He Spends It,344,unrelated
Matt Taibbi on leave of absence from First Look Media,267,discuss
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",1720,unrelated
Government fires employee who skipped work for 24 years,286,unrelated
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,1009,discuss
Islamic State 'training pilots to fly fighter jets',2342,unrelated
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,121,unrelated
Nasa’s ‘six days of total darkness in December 2014’ is a hoax,696,unrelated
CNN Posts Alleged Audio of Michael Brown Shooting,2044,unrelated
"Catholic Priest Dies for 48 Minutes, Comes Back to Life and Claims God Is Female",2043,unrelated
"North Korean leader Kim Jong-un not missing, just having ankle surgery",186,unrelated
Soldier shot near Canadian parliament building,2338,unrelated
Bali spider burrows under Aussie’s chest,2459,unrelated
"Islamic State Training Pilots in Military Jets, Monitors Say",630,discuss
Magic Mushrooms Found in Queen Elizabeth's Garden at Buckingham Palace,2478,agree
Mirfield man's tears of joy after lost voicemail of wife retrieved,1294,unrelated
Ottawa shooting: Sergeant-at-arms Kevin Vickers hailed a hero for shooting rampaging gunman,2410,unrelated
The 'cub of Baghdadi': Has this boy become the youngest victim of Isis’s use of child soldiers?,2317,unrelated
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,1873,unrelated
Judd Nelson rebuffs Internet rumors that he died of a drug overdose.,2483,unrelated
"In Moscow, police are looking for a felon, cut the male genitals",2343,unrelated
Airport worker strips naked at security scanner in protest against guards,662,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",2115,unrelated
"US, UK eye rapper as British-born militant who beheaded journalist James Foley",1530,discuss
Amazon Reportedly Planning An Ad-Supported Video Service That Will Be Cheaper Than Netflix,531,unrelated
Mexico Student Massacre Update: More Graves Discovered At Murder Site,1293,unrelated
"Cook said to confirm Apple Watch is showerproof, lasts a day",2020,unrelated
What Glenn Beck Fears May Be Done With the 11 Missing Jets,1338,unrelated
Vogue’s Rat Infestation: Disturbing New Details,1619,discuss
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,1439,unrelated
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',1277,unrelated
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,26,unrelated
Nicaragua asks U.S. for help investigating meteorite crater,1900,unrelated
SEE IT: NBC meteorologist Mike Seidel appears to relieve himself during broadcast; network says he was looking for phone,633,unrelated
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,2313,unrelated
Search launched for dog's owner after pooch found dumped next to suitcase filled with belongings,1853,agree
Isis Syria News: Video Shows US Airdropped Weapons and Grenades 'Captured by Islamic State',693,unrelated
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,2250,discuss
The @FoxNewsPress Account Tweeting Lawsuit Threats Is a Fake,1656,unrelated
Kim Jong-un 'so fat he has fractured his ankles',2327,unrelated
IPhone 6 users are tearing their hair out,1867,discuss
Lego letter to parents in 1974 on gender equality still resonates 40 years on,22,unrelated
Hospital Officials: Kansas City Patient Not Being Treated For Ebola,1252,discuss
Homeless man who received a meal and hotel stay after spending $100 donation on food for friends insists it was NOT a hoax – despite new witness insisting there was no way he could have been secretly filmed,742,unrelated
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1575,unrelated
"BATMOBILE NOT STOLEN, MTV CONTEST PRIZE REMAINS UNCLAIMED",1807,unrelated
"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",269,unrelated
7 Bosnian teens get pregnant on school trip,571,unrelated
Amazon is opening its first physical store,2116,discuss
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,1385,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,346,unrelated
New Audio Recording From Ferguson May Capture Michael Brown Shooting,2020,unrelated
Ottawa Gunman Identified As Michael Zehaf-Bibeau,972,unrelated
Holy Theft! Batmobile Stolen from 'Batman v Superman'???,702,unrelated
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,1913,unrelated
"Are missing students in mass graves found near Iguala, Mexico?",1740,unrelated
SEE IT: California homeless man uses $100 gift to give food to others,742,unrelated
"Fidel Castro Is Dead, According to Viral Twitter Rumors",879,unrelated
New Audio Recording From Ferguson May Capture Michael Brown Shooting,1934,discuss
"No, that high school kid didn't make $72 million trading stocks",550,unrelated
Soldier shot at War Memorial; multiple shots fired in Parliament,633,unrelated
Video messaging service verifies timing of CNN audio recording,346,unrelated
Christian Bale in Talks to Star in Sony's Steve Jobs Film,1646,unrelated
Are Rumors of the Apple Watch in Feb True?,498,unrelated
"The rapper, the hacker and the terror travel guide writer. Is one of these British extremists Jihadi John? Three potential Islamic State 'Beatles' emerge as MI5 'zeroes in' on murderer who beheaded U.S. journalist James Foley",742,unrelated
Islamic State militants claim to behead missing American journalist,2147,discuss
Media reports identify Londoner as Islamic State's ‘Jihadi John’,1489,discuss
Magic mushrooms found at Buckingham Palace,562,unrelated
Jordan’s King May Participate Personally In ISIS Raids,803,unrelated
"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",2191,discuss
The Apple Watch's battery life will reportedly be just like any other smartwatch,1725,unrelated
Is the Alleged Audio of the Gunshots That Killed Michael Brown a Hoax?,1818,agree
"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",1197,unrelated
"Boko Haram claims to have German hostage, denies ceasefire",2191,discuss
"Absent from duty for 25 years, CPWD official dismissed",2134,agree
Pentagon: ISIS seized materials airdropped to Kurds,1498,unrelated
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1689,unrelated
Lebanon confirms holding ISIS chief’s kin,1744,unrelated
Islamic State 'training pilots to fly fighter jets',950,discuss
Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,119,unrelated
"Apple to Take Reservations for Trying On Apple Watch, Considered Platinum Model",2463,unrelated
Iraq: US to Probe ISIS' Chlorine Attack on Iraqi Security Personnel,763,discuss
Steve Jobs Biopic Eyes Seth Rogen to Play Apple Co-Founder Steve Wozniak,1148,unrelated
NASA: Viral news on days of darkness in December is hoax,348,agree
"UNIVERSITY DROPS TERM ‘FRESHMAN,’ REPLACES IT WITH ‘FIRST-YEAR’",2398,unrelated
N. Korea’s Kim has leg injury but in control,2230,discuss
"Source: Pot in NYC may soon net just a ticket, not arrest",2163,discuss
"Obama, Outraged Over Beheading, Vows to Stay on Course",1461,unrelated
Vogue's new digs are reportedly swarming with rats,313,unrelated
ISIL militant 'Jihadi John' named by media,2501,unrelated
IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,992,discuss
Marijuana May Soon Spark Just a Ticket in New York,1718,unrelated
"Forget 18-karat gold, next-generation Apple Watch Edition could use platinum: Report",483,unrelated
Airport worker strips naked at security scanner in protest against guards,1438,unrelated
Indian civil servant sacked 'after 24-year sickie',1034,unrelated
New York City Plans to End Arrests for Possession of Small Amounts of Marijuana,221,unrelated
CBS News Names Canadian Parliament Shooting Suspect,431,unrelated
'Sex attacker' has penis cut off with a cleaver in India,2009,unrelated
Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',472,unrelated
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,734,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,2191,discuss
White House fence-jumper made it far deeper into building than previously known,1355,unrelated
"Report: The Apple Watch Will Only Last 2.5 Hours With ""Heavy"" Use",2152,unrelated
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,2492,unrelated
